,fold 1,fold 2,fold 3,fold 4,fold 5,mean,std
w20,-0.26460735930747636,-0.46325854467643723,-0.27727906513199824,-0.41415003835706227,-0.23090821583223933,-0.33004064466104266,0.09133885979634557
w21,-0.14111079626797557,-0.25949455188201986,-0.15214060155283005,-0.019386292180496312,0.06816215924176237,-0.10079401652831191,0.11368481108586871
w22,-0.5594371174190924,-0.5579028350588555,-0.21278297502176324,-0.42413850490477567,0.014476920013545232,-0.3479569024781883,0.2210136099053015
w23,0.6713475790483981,0.45809689840969847,0.35380957797844687,0.3891636058775928,0.1914965274440089,0.41278283775162905,0.15614892516270704
w24,0.3156991285706314,0.5458583891376644,0.13847264230397277,-0.34967400109717883,0.28178481669198896,0.18642819512141573,0.2982278403231899
w25,-0.4530810299032534,-0.5128452418617713,-0.5252614919654992,-0.5101389040139978,-0.3138951340259637,-0.4630443603540971,0.07863047116147746
w26,0.6808841610452683,0.3206274968217143,0.39323737278455645,0.3387385886809905,0.2907815229536911,0.4048538284572441,0.14198977238195462
w27,0.6584612663822572,0.19637254008199106,-1.3320564837905213,-0.6651361397248058,-0.507592535553065,-0.3299902705208288,0.6931228265116514
w28,-0.180674069003247,-0.5113180074169367,-0.38008869768595455,0.03552756594554726,-0.2518995790704089,-0.25769055744619995,0.185067625975382
w29,0.37678040982465344,-0.09130348519297413,0.4432393902661201,0.32439219052136803,0.28237509230292557,0.2670967195444186,0.18709551506483932
w30,9.080174307776486,9.285713030393124,9.561965690278637,9.644120859002493,9.272200222228301,9.368834821935808,0.20623011663447935
w31,1.5379727737065025,1.6147349190615006,1.2663580940166963,1.5344954843952978,1.4762959301381882,1.485971440263637,0.11828980713216304
w32,0.25491523751228345,0.0853318044571367,0.6503378183899232,0.3145483008646216,0.28160768512666357,0.3173481692701257,0.18433490846811218
w33,6.273526325787713,6.383882486325009,6.872910694112909,6.737854797734851,6.47727530060991,6.549089920914078,0.22310455081335775
w34,-4.653199565454758,-4.1088327764254435,-4.469881457497243,-4.457872274811239,-4.423886717686403,-4.4227345583750175,0.17612908044025855
w35,0.08336411169093079,0.010429405656608215,0.11711058884427747,-0.0599842867037592,0.09865561656960906,0.04991508721153327,0.06579772536377702
